#ID RA          DEC
 66 067.7231250 -12.6141861
 67 067.7287917 -13.4490194
 68 067.7373333 -12.5411917
 69 067.7382083 -12.1361722
 70 067.7400000 -13.1940667
 71 067.7476667 -12.7029444
 72 067.7497917 -13.2306222
 73 067.7634167 -12.9739222
 74 067.7643750 -13.1891583
 75 067.7712500 -13.5876333
 76 067.7737083 -12.1756778
 77 067.7911667 -12.8974472
 78 067.7932500 -12.9314472
 79 067.7946250 -12.6558944
 80 067.8064583 -12.3581500
 81 067.8076250 -13.3692611
 82 067.8080833 -12.4337056
 83 067.8091250 -12.8882611
 84 067.8131250 -13.2060694
 85 067.8190417 -12.4552500
 86 067.8235833 -13.0686278
 87 067.8282500 -12.1021028
 88 067.8342917 -12.4898556
 89 067.8422083 -12.5215556
 90 067.8487917 -13.0704000
 91 067.8502917 -12.4288167
 92 067.8508750 -13.4983639
 93 067.8552083 -13.1899500
 94 067.8656250 -12.3003694
 95 067.8672500 -12.4620944
 96 067.8676667 -13.2665111
 97 067.8743333 -12.7622139
 98 067.8774583 -12.8449583
 99 067.8777083 -13.1728222
100 067.8818333 -12.4489333
101 067.8835000 -13.2427944
102 067.8867917 -12.8896083
103 067.8881250 -13.1848806
104 067.8886250 -12.4636639
105 067.8893333 -13.2712972
106 067.9022083 -13.1492389
107 067.9132500 -12.3403667
108 067.9135000 -12.7861722
109 067.9174167 -12.2553972
110 067.9185833 -13.1197000
111 067.9202500 -12.5006194
112 067.9220000 -12.9271056
113 067.9244167 -13.1400639
114 067.9292500 -12.5441778
115 067.9295833 -13.1196500
116 067.9329167 -12.7789861
117 067.9352500 -12.6824389
118 067.9360833 -13.1105417
119 067.9365417 -12.7596694
120 067.9369583 -13.0048194
121 067.9372500 -12.7533472
122 067.9411250 -13.3741389
123 067.9419583 -12.7591361
124 067.9422500 -13.2464611
125 067.9425000 -13.6357389
126 067.9427500 -13.0807667
127 067.9506250 -12.6148250
128 067.9511250 -12.4551583
129 067.9524167 -12.9214111
130 067.9564583 -13.1515806
131 067.9587083 -13.6555806
132 067.9600000 -12.7317194
133 067.9665417 -12.1494167
134 067.9716250 -12.8060861
135 067.9805000 -13.4482306
136 067.9814583 -13.1849250
137 067.9903333 -12.9528444
138 067.9911667 -13.2707528
139 067.9912500 -12.8188028
140 067.9922500 -12.7318139
141 067.9928333 -12.2476750
142 067.9976667 -12.4420444
143 068.0056667 -13.0608528
144 068.0061250 -13.1058167
145 068.0117083 -13.4963000
146 068.0167917 -13.3420528
147 068.0199583 -13.1717139
148 068.0247083 -13.3599722
149 068.0260417 -12.3191389
150 068.0274583 -12.2157417
151 068.0274583 -13.0828583
152 068.0337500 -12.7423389
153 068.0400417 -12.6956194
154 068.0412083 -12.8607583
155 068.0480833 -13.1321194
156 068.0627917 -13.8378500
157 068.0655417 -13.4005333
158 068.0669583 -13.0062417
159 068.0674167 -12.2713972
160 068.0842083 -13.2361694
161 068.0900417 -13.1500861
162 068.0910000 -13.2633083
163 068.1004583 -13.5217028
164 068.1013750 -12.7808250
165 068.1103333 -13.7558444
166 068.1132500 -13.2657472
167 068.1156250 -12.6454139
168 068.1213750 -13.3930056
169 068.1237917 -13.5210472
170 068.1251667 -13.2926028
171 068.1314167 -13.2069389
172 068.1340417 -12.4268917
173 068.1436667 -13.7380278
174 068.1509167 -12.5432250
175 068.1513333 -13.4531694
176 068.1514583 -13.1989722
177 068.1556250 -13.1841722
178 068.1727083 -12.7548972
179 068.1865000 -13.1905194
180 068.2008333 -12.7144167
181 068.2022500 -12.3889167
182 068.2043333 -12.7053361
183 068.2047083 -13.2955278
184 068.2049583 -12.8271944
185 068.2056667 -12.2054444
186 068.2111250 -12.9097944
187 068.2131667 -13.0518944
188 068.2165417 -13.0147833
189 068.2205000 -13.3759528
190 068.2220417 -13.0679000
191 068.2232500 -13.7754139
192 068.2255000 -13.3973639
193 068.2266250 -12.9812528
194 068.2271667 -13.3020917
195 068.2279583 -13.3151528
196 068.2309583 -13.2906250
197 068.2335417 -13.0160083
198 068.2336250 -13.6104583
199 068.2367500 -12.7779639
200 068.2409583 -13.2052083
201 068.2459167 -13.3055111
202 068.2477917 -12.9911306
203 068.2485833 -13.7088611
204 068.2505833 -13.2666889
205 068.2528333 -12.9160778
206 068.2578750 -12.7169472
207 068.2693333 -13.2661139
208 068.2770000 -13.5989861
209 068.2788333 -13.2106583
210 068.2855833 -12.3656500
211 068.2862917 -13.3959722
212 068.2867083 -13.0431917
213 068.2872917 -13.3637528
214 068.2881250 -13.6226500
215 068.2900000 -12.7436778
216 068.2953750 -13.2360111
217 068.2970417 -13.0651833
218 068.2979583 -13.4668778
219 068.3101250 -13.3303556
220 068.3131667 -13.3549806
221 068.3142917 -13.4630417
222 068.3167500 -12.5872750
223 068.3178333 -13.0677778
224 068.3199583 -13.1516750
225 068.3224167 -12.9833528
226 068.3242500 -13.3828083
227 068.3246250 -13.1308639
228 068.3277917 -13.5131028
229 068.3280417 -13.5494944
230 068.3288750 -13.2909472
231 068.3297500 -13.2761667
232 068.3324583 -13.3270111
233 068.3340000 -13.4395194
